#用户自定义优先级高，相同键可以替换默认show所提供的
三简：邹昊彤	zht
三简：邹松辰	dd
含蓄：e^π×π^e	五二零
网名：skowosy	skowosy
翻译：小鹤双拼	flypy
名片：https://bonjour.bio/byuo0b	hallo
名片：https://bonjour.bio/byuo0b	bonjour
大学：nwpu	西北工业大学
大学：whu	武汉大学
大学：whu	武大
大学：bit	北京理工大学
大学：bit	北理工
大学：buaa	北京航空航天大学
大学：buaa	北航
简码：呀	y
简码：三	s
简码：上	u
简码：不	b
简码：为	w
简码：二	e
简码：会	h
简码：偶	o
简码：发	f
简码：她	t
简码：安	a
简码：片	p
简码：像	x
简码：吃	i
简码：才	c
简码：来	l
简码：没	m
简码：看	k
简码：着	v
简码：给	g
简码：见	j
简码：让	r
简码：再	z
简码：起	q
简码：哪	n
简码：都	d
简码：地	de
简码：早就	zj
简码：苏轼	su
简码：它	ta
简码：简码	jm
简码：运行	yx
简码：我去	wq
简码：芷兰	vl
简码：好久	hj
简码：利用	ly
简码：肯德基	kfc
简码：太自律了	tzll
简码：晓得了	xdl
简码：好了	hl
简码：常德	id
翻译：身份证	idc
翻译：身份证	idcard
简码：笔袋	bd
简码：模拟	mn
简码：打架	dj
简码：炸鱼	vy
简码：干啥	gu
简码：漠然	mr
简码：酷安	ka
简码：墨奇码	mqm
简码：墨奇码拆	mq
简码：下马大作	xmdz
简码：万象	wx
简码：我去	wq
简码：永远的神	yyds
简码：智锐	vr
简码：很爽的	hud
简码：消炎药	xyy
简码：发源于	fyy
简码：谜一样	myy
简码：快捷	kj
简码：你别说	nbu
简码：成都之心	idvx
简码：感觉	gj
简码：指令	vil
简码：部署	buu
简码：旧的	jd
简码：句模本	jmb
简码：虎码	hm
简码：顺序	ux
简码：没让你	mrn
简码：是的	ud
简码：友友们	yym
简码：活页本	hyb
简码：水果派	ugp
简码：荟萃	hc
简码：泽泽提	zzt
简码：假发	jf
简码：骂	makm
简码：付佬	fl
简码：米家	mj
简码：键盘皮肤	jppf
简码：卡了	kl
简码：邹永生	zys
简码：咋啦	zl
简码：搞得最多	gdzd
简码：好玩	hw
简码：那个	ng
简码：没了	ml
简码：学习版	xxb
简码：吸收	xu
简码：也不难	ybn
简码：何意味	hyw
符号：	苹果公司
符号：	pg
简码：晚安	wa
简码：忘记	wj
简码：更好用	ghy
简码：大字集	dzj
简码：你好呀	nhy
简码：中肯的	vkd
简码：三级跳	sjt
简码：来着	lv
简码：整个	vg
简码：三月聚粮	syjl
简码：快捷指令	kjvl
简码：倒数日	dur
简码：学生党	xud
简码：特快速递	tksd
简码：羡慕	xm
简码：读音	dy
简码：万达	wd
简码：小分队	xfd
简码：信息流	xxl
简码：凌晨	li
简码：直觉	vj
简码：作业帮	zyb
简码：都怪你	dgn
简码：权重	qv
简码：您好	nh
简码：我发的	wfd
简码：不用	by
简码：群里	ql
简码：也没有	ymy
简码：三中	sv
简码：临时	lu
简码：邮件	yj
简码：豪得	hd
简码：那你	nn
简码：音形	yx\
简码：哥	ge
简码：支线剧情	vxjq
简码：+1	jxyi
简码：作业	zy
简码：疯四	fs
简码：往往	ww
简码：钟离假死	vljs
简码：深夜版	uyb
简码：何海峰	hhf
简码：语音	yy
简码：训练有素	xlys
简码：适应	uy
简码：字母	zm
简码：拐了	gl
简码：拐哒	gd
简码：逆天	nt
简码：红豆汤	hdt
简码：漫	mjd
简码：论坛	lt
简码：有道	yd
简码：安卓	av
简码：这么棒	vmb
简码：并击	bj
简码：元书	yu
简码：常用	iy
简码：头像	tx
简码：白嫖	bp
简码：歌	gek
简码：乡	xlv
简码：是这样的	uvyd
简码：难他天	ntt
简码：等电梯	ddt
简码：小天才	xtc
简码：谢谢老师	xxlu
简码：太遗憾了	tyhl
简码：好像是的	hxud
简码：兄弟	xd
